nama_pintu_air,lokasi,latitude,longitude,tinggi_normal,tinggi_siaga_3,tinggi_siaga_2,tanggal,tinggi_air,status_siaga
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 2:10,100,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/16/2020 2:10,750,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/16/2020 2:10,5830,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/16/2020 2:10,510,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/16/2020 2:10,2090,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/16/2020 2:10,1690,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/16/2020 2:10,1610,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/16/2020 2:14,2800,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/16/2020 2:14,2800,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/16/2020 2:14,2800,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/16/2020 2:14,2800,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/16/2020 2:14,2800,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/16/2020 2:14,2800,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 2:40,90,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/16/2020 2:40,750,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/16/2020 2:40,5830,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/16/2020 2:40,510,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/16/2020 2:40,2090,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/16/2020 2:40,1690,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/16/2020 2:40,1640,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 3:10,90,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/16/2020 3:10,750,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/16/2020 3:10,5880,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/16/2020 3:10,520,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/16/2020 3:10,2100,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/16/2020 3:10,1670,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/16/2020 3:10,1640,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 3:40,100,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/16/2020 3:40,750,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/16/2020 3:40,5890,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/16/2020 3:40,520,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/16/2020 3:40,2100,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/16/2020 3:40,1690,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/16/2020 3:40,1640,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 4:10,90,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/16/2020 4:10,750,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/16/2020 4:10,5890,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/16/2020 4:10,520,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/16/2020 4:10,2100,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/16/2020 4:10,1700,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/16/2020 4:10,1680,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 4:40,90,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/16/2020 4:40,750,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/16/2020 4:40,5880,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/16/2020 4:40,510,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/16/2020 4:40,2100,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/16/2020 4:40,1620,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/16/2020 4:40,1740,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 5:10,90,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/16/2020 5:10,750,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/16/2020 5:10,5880,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/16/2020 5:10,510,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/16/2020 5:10,2090,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/16/2020 5:10,1700,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/16/2020 5:10,1760,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/16/2020 5:28,2700,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/16/2020 5:28,2700,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/16/2020 5:30,750,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 5:40,90,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/16/2020 5:40,5880,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/16/2020 5:40,510,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/16/2020 5:40,2090,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/16/2020 5:40,1720,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/16/2020 5:40,1740,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 6:10,90,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/16/2020 6:10,750,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/16/2020 6:10,5870,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/16/2020 6:10,520,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/16/2020 6:10,2080,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/16/2020 6:10,1740,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/16/2020 6:10,1780,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/16/2020 6:25,2700,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/16/2020 6:25,2700,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 6:40,100,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/16/2020 6:40,750,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/16/2020 6:40,5870,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/16/2020 6:40,520,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/16/2020 6:40,2080,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/16/2020 6:40,1730,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/16/2020 6:40,1810,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/16/2020 7:04,2700,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/16/2020 7:04,2700,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 7:10,90,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/16/2020 7:10,750,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/16/2020 7:10,5890,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/16/2020 7:10,510,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/16/2020 7:10,2080,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/16/2020 7:10,1730,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/16/2020 7:10,1820,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 7:40,90,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/16/2020 7:40,750,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/16/2020 7:40,5910,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/16/2020 7:40,520,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/16/2020 7:40,2080,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/16/2020 7:40,1720,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/16/2020 7:40,1850,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/16/2020 8:00,2700,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 8:10,90,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/16/2020 8:10,750,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/16/2020 8:10,5910,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/16/2020 8:10,520,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/16/2020 8:10,2640,Siaga 3
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/16/2020 8:10,1720,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/16/2020 8:10,1640,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 8:30,90,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/16/2020 8:40,750,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/16/2020 8:40,5910,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/16/2020 8:40,520,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/16/2020 8:40,2890,Siaga 3
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/16/2020 8:40,1730,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/16/2020 8:40,1540,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 9:10,100,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/16/2020 9:10,750,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/16/2020 9:10,5900,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/16/2020 9:10,2380,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/16/2020 9:10,520,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/16/2020 9:10,2970,Siaga 3
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/16/2020 9:10,1730,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/16/2020 9:10,1720,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/16/2020 9:30,750,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 9:40,90,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/16/2020 9:40,5900,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/16/2020 9:40,2410,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/16/2020 9:40,520,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/16/2020 9:40,3010,Siaga 2
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/16/2020 9:40,1710,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/16/2020 9:40,1710,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/16/2020 9:50,2360,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 10:10,90,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/16/2020 10:10,750,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/16/2020 10:10,5900,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/16/2020 10:10,520,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/16/2020 10:10,2990,Siaga 3
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/16/2020 10:10,1730,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/16/2020 10:10,1640,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 10:40,90,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/16/2020 10:40,750,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/16/2020 10:40,5890,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/16/2020 10:40,2500,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/16/2020 10:40,520,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/16/2020 10:40,2990,Siaga 3
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/16/2020 10:40,1750,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/16/2020 10:40,1600,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 11:10,90,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/16/2020 11:10,750,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/16/2020 11:10,5890,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/16/2020 11:10,2480,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/16/2020 11:10,520,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/16/2020 11:10,2980,Siaga 3
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/16/2020 11:10,1690,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/16/2020 11:10,1580,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 11:40,80,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/16/2020 11:40,750,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/16/2020 11:40,5890,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/16/2020 11:40,2470,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/16/2020 11:40,520,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/16/2020 11:40,2970,Siaga 3
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/16/2020 11:40,1790,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/16/2020 11:40,1580,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 12:10,80,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/16/2020 12:10,750,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/16/2020 12:10,5890,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/16/2020 12:10,2350,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/16/2020 12:10,520,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/16/2020 12:10,2970,Siaga 3
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/16/2020 12:10,1700,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/16/2020 12:10,1630,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/16/2020 12:20,1670,Siaga 2
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/16/2020 12:20,1670,Siaga 2
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 12:40,80,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/16/2020 12:40,750,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/16/2020 12:40,5890,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/16/2020 12:40,2400,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/16/2020 12:40,520,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/16/2020 12:40,2960,Siaga 3
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/16/2020 12:40,1810,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/16/2020 13:00,1500,Siaga 2
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/16/2020 13:00,1500,Siaga 2
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 13:10,80,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/16/2020 13:10,750,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/16/2020 13:10,5890,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/16/2020 13:10,2350,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/16/2020 13:10,520,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/16/2020 13:10,2960,Siaga 3
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/16/2020 13:10,1660,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 13:40,80,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/16/2020 13:40,750,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/16/2020 13:40,5890,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/16/2020 13:40,2390,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/16/2020 13:40,520,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/16/2020 13:40,2950,Siaga 3
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/16/2020 13:40,1640,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/16/2020 14:00,1550,Siaga 2
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/16/2020 14:00,1550,Siaga 2
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 14:10,80,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/16/2020 14:10,750,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/16/2020 14:10,5880,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/16/2020 14:10,2400,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/16/2020 14:10,520,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/16/2020 14:10,2950,Siaga 3
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/16/2020 14:10,1790,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 14:40,70,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/16/2020 14:40,750,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/16/2020 14:40,5890,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/16/2020 14:40,2380,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/16/2020 14:40,520,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/16/2020 14:40,2950,Siaga 3
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/16/2020 14:40,1730,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/16/2020 15:00,5880,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/16/2020 15:00,1600,Siaga 2
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 15:10,70,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/16/2020 15:10,750,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/16/2020 15:10,2390,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/16/2020 15:10,520,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/16/2020 15:10,2950,Siaga 3
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/16/2020 15:10,1700,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 15:40,70,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/16/2020 15:40,750,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/16/2020 15:40,5880,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/16/2020 15:40,2390,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/16/2020 15:40,520,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/16/2020 15:40,2950,Siaga 3
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/16/2020 15:40,1740,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 16:10,70,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/16/2020 16:10,750,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/16/2020 16:10,5880,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/16/2020 16:10,520,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/16/2020 16:10,3100,Siaga 2
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/16/2020 16:10,1670,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/16/2020 16:10,1750,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 16:40,70,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/16/2020 16:40,750,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/16/2020 16:40,5880,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/16/2020 16:40,520,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/16/2020 16:40,3100,Siaga 2
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/16/2020 16:40,1510,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/16/2020 16:40,1570,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/16/2020 16:50,2410,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/16/2020 16:50,2410,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 17:10,70,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/16/2020 17:10,750,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/16/2020 17:10,5850,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/16/2020 17:10,2510,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/16/2020 17:10,520,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/16/2020 17:10,2310,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/16/2020 17:10,1640,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/16/2020 17:10,1580,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/16/2020 17:30,750,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 17:40,70,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/16/2020 17:40,5860,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/16/2020 17:40,2490,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/16/2020 17:40,520,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/16/2020 17:40,2190,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/16/2020 17:40,1720,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/16/2020 17:40,1760,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/16/2020 18:10,140,Normal
